"","NAVIRES","NO IMMATRICULATION","TJB_C","ARMEMENTS","TYPE_LICENCE","OPTION","ZONE_DE_PECHE"
"85","NIASSENE 818","DAK 1344",294.3,"ENTREPRISE BAYE NIASSE","LADP","Chalutier Congélateur Poissonnier","ABCDEFGH"
"86","NUEVO NOSO LAR","DAK 1133",173.06,"SENEVISA SA","LPEC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"87","NUOVO EURIPIDE","DAK 1076",317,"AMPESCA SARL","LPOC","Chalutier Congélateur Crevettier","12.0"
"88","OCEAN PESCA IIT","DAK 1114",343,"OCEAN PESCA SA","LPOP","Chalutier Congélateur Crevettier Profond","ABCDEFGH"
"89","ONUDAKI","DAK 1021",263.47,"GOBER SN SA","LPDP","Chalutier Congélateur Crevettier Profond","ABCDEFGH"
"90","ONUDAK II","DAK 1025",263.47,"GOBER SN SA","LPDP","Chalutier Congélateur Crevettier Profond","ABCDEFGH"
"91","ORIENTAL KIM","DAK 1288",1770,"CAPSEN","LPFH","Thonier Senneur","ZEES/HM"
"92","PA ALASSANE","DAK 519",29.4,"DEMBA SOW","LPDC","Chalutier Glacier Poissonnier Et Céphalopodier","E/7/6"
"93","PAPE MOUSSA","DAK 1088",46.4,"YAYE BEYE GASSAMA","LPOC","Chalutier Glacier Poissonnier Et Céphalopodier","45814.0"
"94","PAPMAR","DAK 630",157.91,"SAMS","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"95","PERE YANNICK","DAK 1252",195,"ARMT Y. CARTON","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"96","PLAYA DE DAKAR","DAK 1212",230,"HISEFEC","LFDP","Chalutier Congélateur Poissonnier Et Céphalopodier","ABCDEFGH"
"97","PONT SAINT LOUIS","DAK 1226",2107,"SENEGALAISE DE THON SA","LPPH","Thonier Senneur","ZEES/HM"
"98","PRAIA DA MAROSA","DAK 1311",159,"SENEVISA SA","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"99","PRESIDENT OUMAR DIALLO","DAK 755",241.29,"SOPASEN","LPDC","Chalutier Congélateur Crevettier","38875.0"
"100","RIA DE DAKAR","DAK 1142",157.1,"HISEPEC","LPOP","Chalutier Congélateur Crevettier Profond","ABCDEFGH"
"101","SANTANA","DAK 743",174,"SOPASEN","LPDC","Chalutier Congélateur Crevettier","38875.0"
"102","SEA BREEZE","DAK 1375",1929,"GRAND BLEU","LPPH","Thonier Senneur","ZEES/HM"
"103","SEA DEFENDER","DAK 1291",1416,"GRAND BLEU SA","LPPH","Thonier Senneur","ZEES/HM"
"104","SEGUNDO SAN RAFAEL","DAK 1176",166.01,"SENEVISA SA","LPDC","Chalutier Congélateur Poissonnier Et Céphalopodier","10.0"
"105","SERIGNE FALLOU MBACKE","DAK 510",29.4,"YAYE BEYE GASSAMA","LPOC","Chalutier Congélateur Poissonnier Et Céphalopodier","38875.0"
